content,label,tokens
SouthwestAir thanks for the drink tickets hook up cant wait for my first international flight with you to NAS pumped,1,"['SouthwestAir', 'thanks', 'for', 'the', 'drink', 'tickets', 'hook', 'up', 'cant', 'wait', 'for', 'my', 'first', 'international', 'flight', 'with', 'you', 'to', 'NAS', 'pumped']"
SouthwestAir yes i did and the bags came straight to my hotel thank you you guys rock,1,"['SouthwestAir', 'yes', 'i', 'did', 'and', 'the', 'bags', 'came', 'straight', 'to', 'my', 'hotel', 'thank', 'you', 'you', 'guys', 'rock']"
JetBlue but thank you love an anxious flyer,1,"['JetBlue', 'but', 'thank', 'you', 'love', 'an', 'anxious', 'flyer']"
united you guys made my day treated me well thank you,1,"['united', 'you', 'guys', 'made', 'my', 'day', 'treated', 'me', 'well', 'thank', 'you']"
AmericanAir those were snacks we left on purpose for your team  for being so helpful this morning at the desk and on the phone,1,"['AmericanAir', 'those', 'were', 'snacks', 'we', 'left', 'on', 'purpose', 'for', 'your', 'team', 'for', 'being', 'so', 'helpful', 'this', 'morning', 'at', 'the', 'desk', 'and', 'on', 'the', 'phone']"
united he has no priority and iove it,1,"['united', 'he', 'has', 'no', 'priority', 'and', 'iove', 'it']"
SouthwestAir i got a flight at 1155am on thursday but looking for something tomorrow anything available,1,"['SouthwestAir', 'i', 'got', 'a', 'flight', 'at', '1155am', 'on', 'thursday', 'but', 'looking', 'for', 'something', 'tomorrow', 'anything', 'available']"
AmericanAir awesome customer service on 390 from rdu they snuck my wife a warm cookie thx,1,"['AmericanAir', 'awesome', 'customer', 'service', 'on', '390', 'from', 'rdu', 'they', 'snuck', 'my', 'wife', 'a', 'warm', 'cookie', 'thx']"
united our flight attendant superben was super helpful in finding a bag we left on a flight today excellent customer service name fits,1,"['united', 'our', 'flight', 'attendant', 'superben', 'was', 'super', 'helpful', 'in', 'finding', 'a', 'bag', 'we', 'left', 'on', 'a', 'flight', 'today', 'excellent', 'customer', 'service', 'name', 'fits']"
JetBlue thanks for the upgradewinking_face so far so good KeepItUp,1,"['JetBlue', 'thanks', 'for', 'the', 'upgradewinking_face', 'so', 'far', 'so', 'good', 'KeepItUp']"
AmericanAir karen riedel is a rock star employee and a miracle worker i really appreciated her help this morning,1,"['AmericanAir', 'karen', 'riedel', 'is', 'a', 'rock', 'star', 'employee', 'and', 'a', 'miracle', 'worker', 'i', 'really', 'appreciated', 'her', 'help', 'this', 'morning']"
united please send me the linkemail to formally compliment irene in SLC on some of the best customer service ever PaxEx,1,"['united', 'please', 'send', 'me', 'the', 'linkemail', 'to', 'formally', 'compliment', 'irene', 'in', 'SLC', 'on', 'some', 'of', 'the', 'best', 'customer', 'service', 'ever', 'PaxEx']"
united awesome ill book my next christmas vacatinn this december any other ways you want to devalue mileage plus,1,"['united', 'awesome', 'ill', 'book', 'my', 'next', 'christmas', 'vacatinn', 'this', 'december', 'any', 'other', 'ways', 'you', 'want', 'to', 'devalue', 'mileage', 'plus']"
USAirways thank you its  1875 from BWI keep seeing different stats from delayed to awaiting take off to delayed,1,"['USAirways', 'thank', 'you', 'its', '1875', 'from', 'BWI', 'keep', 'seeing', 'different', 'stats', 'from', 'delayed', 'to', 'awaiting', 'take', 'off', 'to', 'delayed']"
united will you fill it yes they will thanks BringYourOwn kleankanteen,1,"['united', 'will', 'you', 'fill', 'it', 'yes', 'they', 'will', 'thanks', 'BringYourOwn', 'kleankanteen']"
SouthwestAir scott is the best thank yo from the bottom of my hearttwo_heartsDestinationDragons with friends in LA HayleyMad see u friday,1,"['SouthwestAir', 'scott', 'is', 'the', 'best', 'thank', 'yo', 'from', 'the', 'bottom', 'of', 'my', 'hearttwo_heartsDestinationDragons', 'with', 'friends', 'in', 'LA', 'HayleyMad', 'see', 'u', 'friday']"
JetBlue thank you,1,"['JetBlue', 'thank', 'you']"
united flew ORD to miami and back and had great crew service on both legs THANKS,1,"['united', 'flew', 'ORD', 'to', 'miami', 'and', 'back', 'and', 'had', 'great', 'crew', 'service', 'on', 'both', 'legs', 'THANKS']"
JetBlue flight attendant wendi on flt 127 on 217 newark to orlando thumbs_upthumbs_up,1,"['JetBlue', 'flight', 'attendant', 'wendi', 'on', 'flt', '127', 'on', '217', 'newark', 'to', 'orlando', 'thumbs_upthumbs_up']"
JetBlue thanks i chatted with a nice fella about it and he gave me the lowdown,1,"['JetBlue', 'thanks', 'i', 'chatted', 'with', 'a', 'nice', 'fella', 'about', 'it', 'and', 'he', 'gave', 'me', 'the', 'lowdown']"
united just did thanks for checking,1,"['united', 'just', 'did', 'thanks', 'for', 'checking']"
SouthwestAir about time thank you,1,"['SouthwestAir', 'about', 'time', 'thank', 'you']"
JetBlue AmericanAir ah ha i misread the end date as being 2014 not 2015 thanks for clarifying,1,"['JetBlue', 'AmericanAir', 'ah', 'ha', 'i', 'misread', 'the', 'end', 'date', 'as', 'being', '2014', 'not', '2015', 'thanks', 'for', 'clarifying']"
VirginAmerica i dont use passbook  i still love you though 3  ill just use my email in the future,1,"['VirginAmerica', 'i', 'dont', 'use', 'passbook', 'i', 'still', 'love', 'you', 'though', '3', 'ill', 'just', 'use', 'my', 'email', 'in', 'the', 'future']"
united thanks for the upgrade please try to get my company to approve more business class travel,1,"['united', 'thanks', 'for', 'the', 'upgrade', 'please', 'try', 'to', 'get', 'my', 'company', 'to', 'approve', 'more', 'business', 'class', 'travel']"
SouthwestAir thank you great customer service so far accidents happen i understand hopefully everything works out,1,"['SouthwestAir', 'thank', 'you', 'great', 'customer', 'service', 'so', 'far', 'accidents', 'happen', 'i', 'understand', 'hopefully', 'everything', 'works', 'out']"
JetBlue 2324 from orlando to dca  and my awesome flight attendant is robert,1,"['JetBlue', '2324', 'from', 'orlando', 'to', 'dca', 'and', 'my', 'awesome', 'flight', 'attendant', 'is', 'robert']"
AmericanAir great  thank you,1,"['AmericanAir', 'great', 'thank', 'you']"
USAirways your team member at DCA tamara r is her name was awesome you should have more employees like her,1,"['USAirways', 'your', 'team', 'member', 'at', 'DCA', 'tamara', 'r', 'is', 'her', 'name', 'was', 'awesome', 'you', 'should', 'have', 'more', 'employees', 'like', 'her']"
VirginAmerica SSal thanks,1,"['VirginAmerica', 'SSal', 'thanks']"
SouthwestAir i managed to get sorted out over the phone good luck dealing with the snow in texas,1,"['SouthwestAir', 'i', 'managed', 'to', 'get', 'sorted', 'out', 'over', 'the', 'phone', 'good', 'luck', 'dealing', 'with', 'the', 'snow', 'in', 'texas']"
united he is so excellent and so reliable  happycustomer,1,"['united', 'he', 'is', 'so', 'excellent', 'and', 'so', 'reliable', 'happycustomer']"
JetBlue okay thanks hope to be flying with you guys soon,1,"['JetBlue', 'okay', 'thanks', 'hope', 'to', 'be', 'flying', 'with', 'you', 'guys', 'soon']"
united awesome thank you very much for the help,1,"['united', 'awesome', 'thank', 'you', 'very', 'much', 'for', 'the', 'help']"
SouthwestAir way to go flying out of denver today must be the only airline not cancelled flightingdelaying flights FlySWA denverairport,1,"['SouthwestAir', 'way', 'to', 'go', 'flying', 'out', 'of', 'denver', 'today', 'must', 'be', 'the', 'only', 'airline', 'not', 'cancelled', 'flightingdelaying', 'flights', 'FlySWA', 'denverairport']"
JetBlue he loved the natural beefjerky snackswinking_face,1,"['JetBlue', 'he', 'loved', 'the', 'natural', 'beefjerky', 'snackswinking_face']"
JetBlue our fleets on fleek  jet blizzue in the hizouse,1,"['JetBlue', 'our', 'fleets', 'on', 'fleek', 'jet', 'blizzue', 'in', 'the', 'hizouse']"
JetBlue app just reminded me i will be flying to FLL in 2 weeks ChillyCVZ ThankGoodness mypompanobeach family friends sunshine,1,"['JetBlue', 'app', 'just', 'reminded', 'me', 'i', 'will', 'be', 'flying', 'to', 'FLL', 'in', '2', 'weeks', 'ChillyCVZ', 'ThankGoodness', 'mypompanobeach', 'family', 'friends', 'sunshine']"
AmericanAir lets all have a extraordinary week and make it a year to remember GoingForGreat 2015 thanks so much american airlines,1,"['AmericanAir', 'lets', 'all', 'have', 'a', 'extraordinary', 'week', 'and', 'make', 'it', 'a', 'year', 'to', 'remember', 'GoingForGreat', '2015', 'thanks', 'so', 'much', 'american', 'airlines']"
united looking for a reason to travel quote,1,"['united', 'looking', 'for', 'a', 'reason', 'to', 'travel', 'quote']"
SouthwestAir gate attendant at McCarran c16 vegas to dallas went above and beyond after a long day of frustration it was welcome,1,"['SouthwestAir', 'gate', 'attendant', 'at', 'McCarran', 'c16', 'vegas', 'to', 'dallas', 'went', 'above', 'and', 'beyond', 'after', 'a', 'long', 'day', 'of', 'frustration', 'it', 'was', 'welcome']"
USAirways got it thanks,1,"['USAirways', 'got', 'it', 'thanks']"
JetBlue is gettin fancy mint LieFlat nice work on the menu saxonandparole LobsterMac BloodyMary JetSetter,1,"['JetBlue', 'is', 'gettin', 'fancy', 'mint', 'LieFlat', 'nice', 'work', 'on', 'the', 'menu', 'saxonandparole', 'LobsterMac', 'BloodyMary', 'JetSetter']"
AmericanAir great seats on this aircraft,1,"['AmericanAir', 'great', 'seats', 'on', 'this', 'aircraft']"
SouthwestAir love bridesmaid dancing cant wait for you to fly into puerto vallarta and kick united ass,1,"['SouthwestAir', 'love', 'bridesmaid', 'dancing', 'cant', 'wait', 'for', 'you', 'to', 'fly', 'into', 'puerto', 'vallarta', 'and', 'kick', 'united', 'ass']"
united you guys continue to impress me in houston,1,"['united', 'you', 'guys', 'continue', 'to', 'impress', 'me', 'in', 'houston']"
united thanks hopefully this is easily resolved,1,"['united', 'thanks', 'hopefully', 'this', 'is', 'easily', 'resolved']"
SouthwestAir jackpot legroom,1,"['SouthwestAir', 'jackpot', 'legroom']"
JetBlue also emergency exit seats 62 and thats a huge win,1,"['JetBlue', 'also', 'emergency', 'exit', 'seats', '62', 'and', 'thats', 'a', 'huge', 'win']"
SouthwestAir flight 3970 bnardu had the most excellent crew today,1,"['SouthwestAir', 'flight', '3970', 'bnardu', 'had', 'the', 'most', 'excellent', 'crew', 'today']"
JetBlue i agree if only there was a frequent tweeter discount so i could fly to see more friends grinning_faceTinman2IronMan meggersrocks,1,"['JetBlue', 'i', 'agree', 'if', 'only', 'there', 'was', 'a', 'frequent', 'tweeter', 'discount', 'so', 'i', 'could', 'fly', 'to', 'see', 'more', 'friends', 'grinning_faceTinman2IronMan', 'meggersrocks']"
JetBlue sooo earlier i said i couldnt fly with you for my school trip but now i can smirking_face,1,"['JetBlue', 'sooo', 'earlier', 'i', 'said', 'i', 'couldnt', 'fly', 'with', 'you', 'for', 'my', 'school', 'trip', 'but', 'now', 'i', 'can', 'smirking_face']"
united counter agents at RDU deserve a medal thankyou,1,"['united', 'counter', 'agents', 'at', 'RDU', 'deserve', 'a', 'medal', 'thankyou']"
SouthwestAir JH thank you i finally got through the second time,1,"['SouthwestAir', 'JH', 'thank', 'you', 'i', 'finally', 'got', 'through', 'the', 'second', 'time']"
AmericanAir keep up the good work got me to my destination safe and on time today,1,"['AmericanAir', 'keep', 'up', 'the', 'good', 'work', 'got', 'me', 'to', 'my', 'destination', 'safe', 'and', 'on', 'time', 'today']"
SouthwestAir save mile to visit family in 2015 and this will impact how many times i can see my mother i planned and you change the rules,1,"['SouthwestAir', 'save', 'mile', 'to', 'visit', 'family', 'in', '2015', 'and', 'this', 'will', 'impact', 'how', 'many', 'times', 'i', 'can', 'see', 'my', 'mother', 'i', 'planned', 'and', 'you', 'change', 'the', 'rules']"
VirginAmerica im sure a lot of your 747 and 777 JFKLHR flights go a lot faster than 513mph with a strong tailwind,1,"['VirginAmerica', 'im', 'sure', 'a', 'lot', 'of', 'your', '747', 'and', '777', 'JFKLHR', 'flights', 'go', 'a', 'lot', 'faster', 'than', '513mph', 'with', 'a', 'strong', 'tailwind']"
united thank you smiling_face_with_smiling_eyes,1,"['united', 'thank', 'you', 'smiling_face_with_smiling_eyes']"
USAirways made it send bloody marys to row 27,1,"['USAirways', 'made', 'it', 'send', 'bloody', 'marys', 'to', 'row', '27']"
AmericanAir i can hardly believe it bundle up and stay warm winking_face,1,"['AmericanAir', 'i', 'can', 'hardly', 'believe', 'it', 'bundle', 'up', 'and', 'stay', 'warm', 'winking_face']"
VirginAmerica thanks so much,1,"['VirginAmerica', 'thanks', 'so', 'much']"
united stellar customer service you have earned my business by your attention to detail,1,"['united', 'stellar', 'customer', 'service', 'you', 'have', 'earned', 'my', 'business', 'by', 'your', 'attention', 'to', 'detail']"
USAirways AmericanAir can you bring guinea pigs in small pet carrier onboard your flights,1,"['USAirways', 'AmericanAir', 'can', 'you', 'bring', 'guinea', 'pigs', 'in', 'small', 'pet', 'carrier', 'onboard', 'your', 'flights']"
JetBlue kudos and were done and heading to warmer weather,1,"['JetBlue', 'kudos', 'and', 'were', 'done', 'and', 'heading', 'to', 'warmer', 'weather']"
AmericanAir LTALJX from DCA to OMA this morning all of the staff that helped me fix my problem were so helpful goodthingscome thanks,1,"['AmericanAir', 'LTALJX', 'from', 'DCA', 'to', 'OMA', 'this', 'morning', 'all', 'of', 'the', 'staff', 'that', 'helped', 'me', 'fix', 'my', 'problem', 'were', 'so', 'helpful', 'goodthingscome', 'thanks']"
united amazing flying over 25000 miles on UnitedAirlines  alliance last year still got jilted out of status moneyelsewhere,1,"['united', 'amazing', 'flying', 'over', '25000', 'miles', 'on', 'UnitedAirlines', 'alliance', 'last', 'year', 'still', 'got', 'jilted', 'out', 'of', 'status', 'moneyelsewhere']"
JetBlue thanks for the reminder of a few older flights id taken and the easy access to add points to my new JB account awesome service,1,"['JetBlue', 'thanks', 'for', 'the', 'reminder', 'of', 'a', 'few', 'older', 'flights', 'id', 'taken', 'and', 'the', 'easy', 'access', 'to', 'add', 'points', 'to', 'my', 'new', 'JB', 'account', 'awesome', 'service']"
AmericanAir ok thank you,1,"['AmericanAir', 'ok', 'thank', 'you']"
SouthwestAir love southwest you guys have been good to me,1,"['SouthwestAir', 'love', 'southwest', 'you', 'guys', 'have', 'been', 'good', 'to', 'me']"
SouthwestAir i red_heart you the only airline that understands us military families and our unpredictable changes pound it oncoming_fist,1,"['SouthwestAir', 'i', 'red_heart', 'you', 'the', 'only', 'airline', 'that', 'understands', 'us', 'military', 'families', 'and', 'our', 'unpredictable', 'changes', 'pound', 'it', 'oncoming_fist']"
SouthwestAir no worries at all i would rather be safe on the ground than take any chances yes tomorrow AM if BNA reopens smiling_face,1,"['SouthwestAir', 'no', 'worries', 'at', 'all', 'i', 'would', 'rather', 'be', 'safe', 'on', 'the', 'ground', 'than', 'take', 'any', 'chances', 'yes', 'tomorrow', 'AM', 'if', 'BNA', 'reopens', 'smiling_face']"
AmericanAir hey becky piela at the orange county airport has been really kind and helpful with rescheduling our flight,1,"['AmericanAir', 'hey', 'becky', 'piela', 'at', 'the', 'orange', 'county', 'airport', 'has', 'been', 'really', 'kind', 'and', 'helpful', 'with', 'rescheduling', 'our', 'flight']"
JetBlue flyfi thank you seattle and UDUB here we come cameron__roe,1,"['JetBlue', 'flyfi', 'thank', 'you', 'seattle', 'and', 'UDUB', 'here', 'we', 'come', 'cameron__roe']"
united just confirmed a seat crisis averted beers wont be missed now,1,"['united', 'just', 'confirmed', 'a', 'seat', 'crisis', 'averted', 'beers', 'wont', 'be', 'missed', 'now']"
SouthwestAir thx ops agt rich westagard n flight att nancy  DEN AirportHeld flight 1027 n even saved seat 4 bus select CustomersFirst,1,"['SouthwestAir', 'thx', 'ops', 'agt', 'rich', 'westagard', 'n', 'flight', 'att', 'nancy', 'DEN', 'AirportHeld', 'flight', '1027', 'n', 'even', 'saved', 'seat', '4', 'bus', 'select', 'CustomersFirst']"
united so sorry i ended up on US air flight thank you though for getting back to me,1,"['united', 'so', 'sorry', 'i', 'ended', 'up', 'on', 'US', 'air', 'flight', 'thank', 'you', 'though', 'for', 'getting', 'back', 'to', 'me']"
united thank you literally called for preboarding as i ran up,1,"['united', 'thank', 'you', 'literally', 'called', 'for', 'preboarding', 'as', 'i', 'ran', 'up']"
VirginAmerica only way to fly elevate gold,1,"['VirginAmerica', 'only', 'way', 'to', 'fly', 'elevate', 'gold']"
USAirways they were breathing very heavily but were super helpful thank you,1,"['USAirways', 'they', 'were', 'breathing', 'very', 'heavily', 'but', 'were', 'super', 'helpful', 'thank', 'you']"
JetBlue handled 0xjareds question like social media pros good practice for when our transportation systems are all run by friendly AIs,1,"['JetBlue', 'handled', '0xjareds', 'question', 'like', 'social', 'media', 'pros', 'good', 'practice', 'for', 'when', 'our', 'transportation', 'systems', 'are', 'all', 'run', 'by', 'friendly', 'AIs']"
SouthwestAir your terry is our hero got my husband back thru security to retrieve cellphone left on plane in austin terry 85832 u rock,1,"['SouthwestAir', 'your', 'terry', 'is', 'our', 'hero', 'got', 'my', 'husband', 'back', 'thru', 'security', 'to', 'retrieve', 'cellphone', 'left', 'on', 'plane', 'in', 'austin', 'terry', '85832', 'u', 'rock']"
SouthwestAir all good now going to make it to boston on time im actually on your wifi right now,1,"['SouthwestAir', 'all', 'good', 'now', 'going', 'to', 'make', 'it', 'to', 'boston', 'on', 'time', 'im', 'actually', 'on', 'your', 'wifi', 'right', 'now']"
JetBlue perfect probably need some coffee to stay awake during the night,1,"['JetBlue', 'perfect', 'probably', 'need', 'some', 'coffee', 'to', 'stay', 'awake', 'during', 'the', 'night']"
united just sent a DM thank you for the acknowledgment,1,"['united', 'just', 'sent', 'a', 'DM', 'thank', 'you', 'for', 'the', 'acknowledgment']"
SouthwestAir  thanks to the agent boarding 1137 ATLAUS left my wallet on the inbound he found it for me,1,"['SouthwestAir', 'thanks', 'to', 'the', 'agent', 'boarding', '1137', 'ATLAUS', 'left', 'my', 'wallet', 'on', 'the', 'inbound', 'he', 'found', 'it', 'for', 'me']"
JetBlue nothing but praise for you helping our lady make her flight to CHS tonight impressed,1,"['JetBlue', 'nothing', 'but', 'praise', 'for', 'you', 'helping', 'our', 'lady', 'make', 'her', 'flight', 'to', 'CHS', 'tonight', 'impressed']"
JetBlue great flight great view,1,"['JetBlue', 'great', 'flight', 'great', 'view']"
SouthwestAir so glad u guys do business w more class than UR competitors SpiritAirlines smirking_face,1,"['SouthwestAir', 'so', 'glad', 'u', 'guys', 'do', 'business', 'w', 'more', 'class', 'than', 'UR', 'competitors', 'SpiritAirlines', 'smirking_face']"
JetBlue love you guyssmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes,1,"['JetBlue', 'love', 'you', 'guyssmiling_face_with_hearteyessmiling_face_with_hearteyessmiling_face_with_hearteyes']"
SouthwestAir FortuneMagazine love SW forevergrinning_face_with_big_eyestwo_heartssmiling_face_with_hearteyesright_arrow_curving_upright_arrow_curving_up,1,"['SouthwestAir', 'FortuneMagazine', 'love', 'SW', 'forevergrinning_face_with_big_eyestwo_heartssmiling_face_with_hearteyesright_arrow_curving_upright_arrow_curving_up']"
VirginAmerica completely awesome experience last month BOSLAS nonstop thanks for such an awesome flight and depart time VAbeatsJblue,1,"['VirginAmerica', 'completely', 'awesome', 'experience', 'last', 'month', 'BOSLAS', 'nonstop', 'thanks', 'for', 'such', 'an', 'awesome', 'flight', 'and', 'depart', 'time', 'VAbeatsJblue']"
AmericanAir pretty impressed with the in flight entertainment full touch usable smooth good selection,1,"['AmericanAir', 'pretty', 'impressed', 'with', 'the', 'in', 'flight', 'entertainment', 'full', 'touch', 'usable', 'smooth', 'good', 'selection']"
SouthwestAir your employees were great,1,"['SouthwestAir', 'your', 'employees', 'were', 'great']"
SouthwestAir sign me up,1,"['SouthwestAir', 'sign', 'me', 'up']"
united great flight into PVD smallest plane i have ever been on and smoothest landing ever,1,"['united', 'great', 'flight', 'into', 'PVD', 'smallest', 'plane', 'i', 'have', 'ever', 'been', 'on', 'and', 'smoothest', 'landing', 'ever']"
JetBlue also thanks for your prompt replies im really impressedand youre not just brushing me off much appreciated,1,"['JetBlue', 'also', 'thanks', 'for', 'your', 'prompt', 'replies', 'im', 'really', 'impressedand', 'youre', 'not', 'just', 'brushing', 'me', 'off', 'much', 'appreciated']"
SouthwestAir thanks i think weve got it figured out,1,"['SouthwestAir', 'thanks', 'i', 'think', 'weve', 'got', 'it', 'figured', 'out']"
JetBlue your employee charles cave at the gate at MSY went above and beyond to help try to help me find my glasses thought u should know,1,"['JetBlue', 'your', 'employee', 'charles', 'cave', 'at', 'the', 'gate', 'at', 'MSY', 'went', 'above', 'and', 'beyond', 'to', 'help', 'try', 'to', 'help', 'me', 'find', 'my', 'glasses', 'thought', 'u', 'should', 'know']"
JetBlue you reimbursed everyone on the flight a portion of their ticket i still love JetBlue best american airline,1,"['JetBlue', 'you', 'reimbursed', 'everyone', 'on', 'the', 'flight', 'a', 'portion', 'of', 'their', 'ticket', 'i', 'still', 'love', 'JetBlue', 'best', 'american', 'airline']"
JetBlue thanks for taking me back home today despite pandoras best efforts to cancelled flight the flight jetblue backhome noplacelikehome,1,"['JetBlue', 'thanks', 'for', 'taking', 'me', 'back', 'home', 'today', 'despite', 'pandoras', 'best', 'efforts', 'to', 'cancelled', 'flight', 'the', 'flight', 'jetblue', 'backhome', 'noplacelikehome']"
JetBlue s free wifi on board is the best thing thats happened since sliced bread,1,"['JetBlue', 's', 'free', 'wifi', 'on', 'board', 'is', 'the', 'best', 'thing', 'thats', 'happened', 'since', 'sliced', 'bread']"
JetBlue good luck thanks,1,"['JetBlue', 'good', 'luck', 'thanks']"
JetBlue thank you,1,"['JetBlue', 'thank', 'you']"
AmericanAir aww thanks AADFW was on GMA up here this AMso i understand btw AA is my airline when im able to trvlove you guys,1,"['AmericanAir', 'aww', 'thanks', 'AADFW', 'was', 'on', 'GMA', 'up', 'here', 'this', 'AMso', 'i', 'understand', 'btw', 'AA', 'is', 'my', 'airline', 'when', 'im', 'able', 'to', 'trvlove', 'you', 'guys']"
VirginAmerica awesome i flew yall sat morning any way we can correct my bill,1,"['VirginAmerica', 'awesome', 'i', 'flew', 'yall', 'sat', 'morning', 'any', 'way', 'we', 'can', 'correct', 'my', 'bill']"
SouthwestAir THANK YOU SO MUCH YOURE AMAZING IM GOING TO CRY OMG,1,"['SouthwestAir', 'THANK', 'YOU', 'SO', 'MUCH', 'YOURE', 'AMAZING', 'IM', 'GOING', 'TO', 'CRY', 'OMG']"
united thanks,1,"['united', 'thanks']"
SouthwestAir for the win as always saved my day and got me on a direct to orlando party_popperparty_popperparty_popper,1,"['SouthwestAir', 'for', 'the', 'win', 'as', 'always', 'saved', 'my', 'day', 'and', 'got', 'me', 'on', 'a', 'direct', 'to', 'orlando', 'party_popperparty_popperparty_popper']"
USAirways thanks if you have another method also that would be nice appears to be a design flaw,1,"['USAirways', 'thanks', 'if', 'you', 'have', 'another', 'method', 'also', 'that', 'would', 'be', 'nice', 'appears', 'to', 'be', 'a', 'design', 'flaw']"
united airport snow removal method 22 keep up the good work folks this is where cessnas become 747s,1,"['united', 'airport', 'snow', 'removal', 'method', '22', 'keep', 'up', 'the', 'good', 'work', 'folks', 'this', 'is', 'where', 'cessnas', 'become', '747s']"
SouthwestAir what an awesome flight dallas 2 NY virgin america refused bc of my childs peanut allergy but u guys didnt thanks thumbs_upsmiling_face_with_smiling_eyes,1,"['SouthwestAir', 'what', 'an', 'awesome', 'flight', 'dallas', '2', 'NY', 'virgin', 'america', 'refused', 'bc', 'of', 'my', 'childs', 'peanut', 'allergy', 'but', 'u', 'guys', 'didnt', 'thanks', 'thumbs_upsmiling_face_with_smiling_eyes']"
JetBlue thank you for incredible customer svc from gate to flight mint experience is magic,1,"['JetBlue', 'thank', 'you', 'for', 'incredible', 'customer', 'svc', 'from', 'gate', 'to', 'flight', 'mint', 'experience', 'is', 'magic']"
